Location,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albuquerque,6.9,6.5,5.7,6.9,4.5,6.4,5.1,5.2,4.866666666666667,4.533333333333333,4.2,4.5,5.5,6.6,5.7,5.9,4.9,7.2,5.5,5.6
Atlanta,9.2,7.8,7.7,1.3,1.1,,3.1,7.3,8.5,9.7,10.9,6.7,9.3,5.5,5.5,7.9,8.4,6.5,5.9,4.6
Austin,5.1,4.6,5.3,4.6,6.2,4.9,5.4,5.6,5.566666666666666,5.533333333333333,5.5,4.9,4.4,4.5,4.2,4.6,3.6,3.4,3.7,3.3
Baltimore,14.1,11.6,11.3,9.9,12.8,12.5,11.2,12.2,12.636666666666667,13.073333333333332,13.51,2.0,10.8,10.0,10.2,10.4,7.7,8.5,8.2,8.6
Boston,7.4,6.7,7.2,6.9,6.1,6.2,5.1,5.9,6.166666666666667,6.433333333333334,6.7,3.8,5.3,4.9,4.7,6.3,5.5,5.3,4.7,4.0
Charlotte,6.5,8.9,8.3,8.6,7.2,9.8,8.8,7.3,6.966666666666667,6.633333333333333,6.3,6.0,6.2,5.6,6.5,6.0,6.2,7.2,5.1,4.9
Chicago,12.2,10.9,9.5,9.0,10.0,8.9,9.1,7.2,7.466666666666667,7.733333333333333,8.0,7.5,7.9,7.7,6.6,7.0,7.8,6.9,6.7,7.2
Cleveland,13.0,13.2,11.2,14.7,10.0,14.8,15.0,14.0,14.1,14.200000000000001,14.3,13.5,14.1,13.4,13.5,11.3,17.0,12.2,13.3,14.6
Colorado Springs,8.8,7.8,6.2,6.9,7.2,8.7,7.8,10.0,9.066666666666666,8.133333333333333,7.2,7.6,7.1,5.2,4.8,4.1,5.5,5.4,5.7,4.3
Columbus,9.8,9.9,9.2,10.8,9.8,8.3,9.8,10.0,9.3,8.6,7.9,7.6,8.9,8.0,7.9,8.8,9.8,9.3,8.8,8.2
Dallas,6.8,5.4,6.5,6.8,8.1,6.8,7.3,8.5,8.333333333333334,8.166666666666666,8.0,7.5,7.5,7.1,7.2,7.2,6.7,6.0,7.8,6.1
Denver,6.2,6.0,5.3,7.1,7.0,6.6,8.8,5.2,5.8,6.4,7.0,6.1,4.5,5.6,7.3,4.4,5.5,4.8,3.5,4.4
Detroit,14.6,14.8,14.0,16.7,16.4,15.5,16.0,13.4,13.866666666666667,14.333333333333334,14.8,13.5,12.4,15.0,13.4,10.5,12.8,12.9,14.6,14.3
District of Columbia,15.0,12.0,10.6,11.3,10.5,12.0,14.1,11.3,10.8,10.3,9.8,7.9,7.5,8.0,6.8,7.3,8.6,7.1,8.1,6.9
El Paso,5.0,4.4,5.0,3.5,3.9,3.7,5.1,4.7,4.433333333333334,4.166666666666667,3.9,3.9,4.9,4.5,4.8,5.1,4.3,4.2,4.8,3.5
Fresno,6.7,6.8,5.9,8.3,7.0,8.0,7.7,7.2,6.833333333333333,6.466666666666667,6.1,7.4,8.2,6.2,9.2,8.2,8.0,5.7,7.8,7.2
Houston,6.5,5.1,5.5,7.1,6.9,7.3,6.9,5.9,6.233333333333333,6.566666666666667,6.9,6.4,5.5,6.1,6.8,6.1,5.9,6.0,6.0,6.2
Indianapolis,11.0,9.9,7.8,8.5,9.4,10.1,9.8,9.3,9.966666666666667,10.633333333333335,11.3,9.7,9.5,7.4,9.2,8.4,7.9,8.5,7.3,7.9
Jacksonville,10.6,9.3,11.3,9.6,10.2,11.3,12.1,10.1,9.666666666666666,9.233333333333334,8.8,8.2,8.3,9.3,9.6,9.8,8.4,9.3,9.0,10.5
Kansas City,8.9,7.2,7.6,9.8,8.3,8.2,7.3,9.0,8.366666666666667,7.733333333333333,7.1,6.2,5.9,7.3,6.0,6.0,5.6,6.7,7.5,6.4
Las Vegas,4.9,3.9,5.7,5.3,3.7,4.3,3.5,5.6,4.833333333333333,4.066666666666666,3.3,3.2,2.4,3.7,3.2,4.2,4.6,5.1,4.3,4.1
Los Angeles,6.1,4.9,5.7,5.8,5.5,5.8,5.1,4.8,4.866666666666666,4.933333333333334,5.0,5.2,4.9,4.6,4.9,4.5,4.3,4.2,4.4,4.0
Louisville,7.4,7.0,5.7,6.9,4.9,5.6,5.5,7.1,7.166666666666666,7.233333333333333,7.3,6.9,6.7,7.9,5.1,6.6,6.5,6.1,6.6,4.9
Memphis,13.3,16.1,14.9,16.7,17.3,14.7,13.3,16.0,15.633333333333333,15.266666666666667,14.9,11.7,10.7,11.8,10.5,10.3,9.9,10.1,11.1,10.0
Miami,5.2,5.4,4.9,4.7,5.1,4.3,7.9,3.8,4.3,4.8,5.3,4.7,5.0,4.8,5.2,5.5,5.8,6.6,5.2,4.5
Milwaukee,10.5,11.4,11.5,12.1,11.4,11.9,11.1,11.9,11.633333333333333,11.366666666666667,11.1,9.4,9.3,9.6,11.3,8.5,9.5,9.4,12.3,10.8
Minneapolis,7.9,6.2,5.6,6.7,5.5,6.9,5.8,6.9,6.166666666666667,5.433333333333334,4.7,6.8,6.5,5.3,7.4,7.2,7.2,7.0,5.8,6.5
Nashville,9.2,10.2,8.7,10.2,7.4,6.3,8.1,9.3,8.8,8.3,7.8,7.8,7.6,7.0,7.6,6.5,7.1,7.3,7.0,6.7
New York City,6.7,6.4,5.6,5.9,6.2,6.1,5.6,5.7,5.466666666666667,5.233333333333333,5.0,4.6,4.5,4.6,4.2,4.0,4.1,3.8,4.2,3.5
Oklahoma City,9.3,12.6,8.9,8.7,10.3,10.6,9.3,7.0,8.333333333333334,9.666666666666666,11.0,8.1,7.2,8.2,7.9,7.0,7.4,8.9,7.4,8.1
Omaha,7.9,8.9,7.5,9.8,7.3,6.2,6.5,7.9,7.266666666666667,6.633333333333334,6.0,6.5,6.2,4.4,7.8,5.2,7.0,7.4,7.2,6.7
Philadelphia,12.2,10.5,10.5,10.7,10.7,11.2,12.0,12.2,11.833333333333332,11.466666666666667,11.1,10.5,9.5,10.0,9.3,7.3,8.0,8.5,8.3,8.1
Phoenix,8.0,6.7,7.9,6.6,6.8,7.2,6.7,6.8,6.833333333333333,6.866666666666667,6.9,7.0,7.5,6.4,5.6,6.7,5.4,6.5,5.9,5.7
Portland,5.2,5.9,3.2,4.5,3.9,5.3,5.9,5.8,5.6,5.4,5.2,5.4,4.3,4.8,4.4,5.1,5.1,3.7,4.1,3.3
Sacramento,6.5,6.6,7.2,7.1,5.9,5.7,5.9,6.2,6.466666666666667,6.733333333333333,7.0,5.2,6.3,6.0,5.5,5.2,5.7,4.8,5.5,5.9
San Antonio,6.5,4.9,5.7,7.3,7.5,6.3,6.6,6.5,6.266666666666667,6.033333333333333,5.8,6.7,5.1,7.0,6.5,5.4,6.8,6.7,6.8,7.3
San Diego,5.4,6.6,6.2,4.2,4.5,5.1,4.5,5.0,4.933333333333334,4.866666666666666,4.8,4.9,3.8,4.6,4.2,3.6,3.4,4.0,3.8,4.5
San Francisco,3.8,4.0,3.8,4.6,3.1,3.6,3.6,3.1,3.3000000000000003,3.5,3.7,3.4,,3.2,3.6,2.5,3.6,,2.5,3.7
San Jose,4.7,4.8,4.2,3.6,4.0,4.5,3.8,3.9,3.9666666666666663,4.033333333333333,4.1,3.3,3.0,3.1,4.0,3.3,3.5,3.3,3.3,4.2
San Juan,14.1,9.9,10.1,12.8,11.3,,,,,,7.7,9.5,8.7,9.8,9.5,9.3,9.9,10.2,11.1,
Seattle,6.5,4.6,4.8,4.0,5.6,5.2,4.9,3.5,3.6333333333333333,3.7666666666666666,3.9,3.5,3.7,5.4,5.0,3.7,3.3,3.6,3.3,3.9
Tucson,5.1,5.5,7.4,6.9,6.6,7.3,8.7,7.2,6.733333333333333,6.266666666666667,5.8,5.1,4.2,4.9,4.2,5.5,5.0,5.1,4.1,5.6
Tulsa,8.2,9.6,8.2,10.1,8.2,6.9,8.9,8.9,8.733333333333334,8.566666666666666,8.4,7.3,6.9,11.2,8.3,9.4,7.1,10.2,8.7,7.6
Virginia Beach,9.4,6.0,7.1,7.2,6.8,7.8,7.8,10.3,8.700000000000001,7.1000000000000005,5.5,6.8,6.9,6.1,5.8,4.6,5.6,4.9,4.6,5.7
Wichita,,,,,,8.8,10.6,7.7,8.233333333333334,8.766666666666667,9.3,6.9,7.3,8.8,8.9,6.1,6.6,8.3,6.9,8.1
Infant Mortality Mean,8.370454545454542,7.895454545454546,7.547727272727271,7.970454545454547,7.547727272727275,7.851162790697677,7.888636363636365,7.781818181818182,7.696287878787879,7.610757575757575,7.529111111111111,6.695555555555556,6.861363636363635,6.913333333333334,6.884444444444443,6.5,6.722222222222223,6.790909090909091,6.631111111111113,6.411363636363637
Infant Mortality First Quartile,6.425,5.475,5.675000000000001,5.875000000000001,5.5,5.75,5.475,5.675000000000001,5.591666666666666,5.425000000000001,5.3,4.9,4.975,4.9,4.9,5.1,5.1,5.05,4.6,4.375
Infant Mortality Median,7.65,6.75,7.2,7.1,7.0,6.9,7.5,7.2,7.066666666666666,6.800000000000001,7.0,6.7,6.800000000000001,6.2,6.5,6.1,6.5,6.65,6.0,6.0
Infant Mortality Third Quartile,9.975000000000001,9.9,8.975000000000001,9.825000000000001,9.850000000000001,9.350000000000001,9.425,9.475000000000001,8.866666666666667,8.883333333333335,8.8,7.6,8.225,8.0,8.3,7.9,7.9,8.5,7.8,7.674999999999999
