,Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
1999,New York City,10.0,6.6,100.0,42.0,0.15,0.11,79.0,45.0,13.0,39.0,13.7,73.0,35.0,
2000,New York City,8.5,4.8,106.0,41.0,0.14,0.114,86.0,46.0,13.0,44.0,18.5,108.0,36.0,
2001,New York City,8.6,4.8,100.0,40.0,0.14,0.108,71.0,46.0,12.0,42.0,18.0,71.0,32.0,
2002,New York City,6.4,4.4,97.0,40.0,0.15,0.125,67.0,39.0,12.0,48.0,16.7,60.0,25.0,
2003,New York City,11.2,3.3,84.0,32.0,0.14,0.102,74.0,51.0,11.0,47.0,17.0,75.0,36.0,
2004,New York City,5.4,3.3,81.0,30.0,0.11,0.088,69.0,35.0,10.0,45.0,15.6,54.0,27.0,
2005,New York City,4.8,3.4,83.0,36.0,0.14,0.101,72.0,39.0,11.0,43.0,17.0,66.0,30.0,
2006,New York City,5.4,2.9,86.0,34.0,0.15,0.101,70.0,34.0,10.0,42.0,14.8,,,
2007,New York City,3.1,2.4,79.0,34.0,0.13,0.094,62.0,36.0,10.0,39.0,16.1,59.0,33.0,
2008,New York City,3.4,2.1,77.0,26.0,0.13,0.087,62.0,26.0,7.0,34.0,13.5,74.0,29.0,
2009,New York City,4.2,2.1,72.0,26.0,0.1,0.081,61.0,26.0,6.0,33.0,12.7,78.0,28.0,0.08
2010,New York City,5.7,2.2,71.0,22.0,0.12,0.087,50.0,24.0,5.0,28.0,11.5,,,0.04
2011,New York City,4.0,2.8,71.0,25.0,0.12,0.089,41.0,20.0,5.0,33.0,12.2,63.0,30.0,1.03
2012,New York City,3.2,2.5,67.0,22.0,0.12,0.085,32.0,12.0,3.0,26.0,11.7,73.0,30.0,0.06
2013,New York City,3.1,1.9,62.0,22.0,0.12,0.078,22.0,10.0,2.0,31.0,10.9,43.0,19.0,0.11
2014,New York City,3.1,2.5,70.0,22.0,0.11,0.074,15.0,10.0,2.0,31.0,10.5,47.0,17.0,0.02
2015,New York City,2.7,1.9,68.0,22.0,0.1,0.079,15.0,7.0,2.0,29.0,11.4,44.0,20.0,0.03
2016,New York City,5.2,2.5,60.0,20.0,0.1,0.078,7.0,4.0,1.0,21.0,10.1,45.0,17.0,0.03
2017,New York City,2.3,1.6,67.0,20.0,0.11,0.079,7.0,4.0,1.0,23.0,10.3,32.0,16.0,0.01
2018,New York City,4.8,2.7,68.0,19.0,0.11,0.079,8.0,4.0,1.0,27.0,11.1,38.0,16.0,0.0
